fips,county,state,cases,deaths,store_count,store_ratio,totalincome_thousands,population,incomepercapita
23021,Piscataquis,Maine,223,1,3,1.34529148,664925,16785,39614
50005,Caledonia,Vermont,361,4,3,0.831024931,1293089,29993,43113
23003,Aroostook,Maine,1176,43,6,0.510204082,2896014,67055,43189
23009,Hancock,Maine,815,31,4,0.490797546,2875506,54987,52294
50025,Windham,Vermont,818,11,4,0.488997555,2200756,42222,52123
54013,Calhoun,West Virginia,215,0,1,0.465116279,222009,7109,31229
50021,Rutland,Vermont,1010,9,4,0.396039604,3092969,58191,53152
23015,Lincoln,Maine,505,2,2,0.396039604,1790138,34634,51687
50011,Franklin,Vermont,861,35,3,0.348432056,2365833,49402,47889
23013,Knox,Maine,591,4,2,0.338409475,2066523,39772,51959
50001,Addison,Vermont,612,8,2,0.326797386,1947948,36777,52966
36025,Delaware,New York,1253,31,4,0.319233839,1863398,44135,42220
23029,Washington,Maine,661,11,2,0.302571861,1289495,31379,41094
54067,Nicholas,West Virginia,1080,12,3,0.277777778,852261,24496,34792
54015,Clay,West Virginia,360,4,1,0.277777778,273930,8508,32197
50015,Lamoille,Vermont,366,2,1,0.273224044,1388857,25362,54761
23025,Somerset,Maine,1131,26,3,0.265251989,1983116,50484,39282
50019,Orleans,Vermont,378,6,1,0.264550265,1205275,27037,44579
33007,Coos,New Hampshire,1180,29,3,0.254237288,1401363,31563,44399
23011,Kennebec,Maine,3313,47,8,0.241472985,5743002,122302,46958
23023,Sagadahoc,Maine,831,1,2,0.240673887,1890888,35856,52736
50007,Chittenden,Vermont,4193,80,10,0.238492726,10130810,163774,61858
36113,Warren,New York,2554,48,6,0.234925607,3528483,63944,55181
54047,McDowell,West Virginia,1285,17,3,0.233463035,569154,17624,32294
51600,Fairfax city,Virginia,441,12,1,0.22675737,,,
47067,Hancock,Tennessee,445,9,1,0.224719101,185910,6620,28083
29093,Iron,Missouri,456,3,1,0.219298246,349861,10125,34554
53009,Clallam,Washington,915,6,2,0.218579235,3700741,77331,47856
51830,Williamsburg city,Virginia,459,9,1,0.217864924,,,
54093,Tucker,West Virginia,475,7,1,0.210526316,294546,6839,43069
51071,Giles,Virginia,951,7,2,0.210304942,688515,16720,41179
36115,Washington,New York,1980,42,4,0.202020202,2581625,61204,42181
23017,Oxford,Maine,1999,40,4,0.20010005,2274918,57975,39240
23019,Penobscot,Maine,3531,71,7,0.198244123,6563124,152148,43136
